,Year,County,Households,Poverty Households,ALICE Households
0,2010,Adams,5599,1044,1504
1,2012,Adams,5722,1117,1806
2,2014,Adams,5827,1166,1833
3,2016,Adams,5733,1076,1722
4,2018,Adams,5881,1135,1733
5,2019,Adams,5973,1181,2033
6,2021,Adams,6158,1102,2114
7,2010,Asotin,8920,1148,2491
8,2012,Asotin,9298,1222,2419
9,2014,Asotin,9405,1394,2330
10,2016,Asotin,9297,1299,2750
11,2018,Asotin,9171,1251,2178
12,2019,Asotin,9101,1123,2456
13,2021,Asotin,9287,1064,2774
14,2010,Benton,64115,7029,10268
15,2012,Benton,65945,7854,14251
16,2014,Benton,67815,8599,13930
17,2016,Benton,70434,6848,15609
18,2018,Benton,71921,5948,16306
19,2019,Benton,73678,6212,17051
20,2021,Benton,76855,8431,19394
21,2010,Chelan,26564,3136,6990
22,2012,Chelan,27458,3600,7868
23,2014,Chelan,27087,4156,7510
24,2016,Chelan,28353,3484,8353
25,2018,Chelan,28038,3302,8438
26,2019,Chelan,28384,3151,7978
27,2021,Chelan,29474,2782,10047
28,2010,Clallam,30430,4116,8210
29,2012,Clallam,30044,3965,8415
30,2014,Clallam,31361,4260,8687
31,2016,Clallam,31837,4769,7525
32,2018,Clallam,33265,4461,7705
33,2019,Clallam,33022,4024,8665
34,2021,Clallam,34773,3926,9020
35,2010,Clark,155533,15937,42209
36,2012,Clark,160145,16719,50893
37,2014,Clark,165133,14632,48838
38,2016,Clark,169997,14403,44466
39,2018,Clark,178980,14535,56708
40,2019,Clark,180862,14959,64042
41,2021,Clark,193919,18678,61053
42,2010,Columbia,1732,272,380
43,2012,Columbia,1713,218,435
44,2014,Columbia,1706,274,409
45,2016,Columbia,1689,207,550
46,2018,Columbia,1758,203,477
47,2019,Columbia,1795,236,481
48,2021,Columbia,1849,220,368
49,2010,Cowlitz,40475,8625,8253
50,2012,Cowlitz,38834,6552,8576
51,2014,Cowlitz,40036,8103,8921
52,2016,Cowlitz,40170,7096,8437
53,2018,Cowlitz,43279,4668,12479
54,2019,Cowlitz,42790,5266,11420
55,2021,Cowlitz,43204,5873,9362
56,2010,Douglas,13813,1655,2434
57,2012,Douglas,14207,1763,3123
58,2014,Douglas,14140,1703,3749
59,2016,Douglas,14348,1575,3852
60,2018,Douglas,15064,1675,3499
61,2019,Douglas,15263,1534,3927
62,2021,Douglas,15278,1465,4599
63,2010,Ferry,2706,485,896
64,2012,Ferry,2877,526,1034
65,2014,Ferry,3112,681,930
66,2016,Ferry,3039,699,780
67,2018,Ferry,3097,643,755
68,2019,Ferry,3060,628,864
69,2021,Ferry,2934,452,1025
70,2010,Franklin,22511,3712,6145
71,2012,Franklin,24270,4441,5553
72,2014,Franklin,25542,4388,6438
73,2016,Franklin,25903,3924,5935
74,2018,Franklin,26316,3642,8272
75,2019,Franklin,26723,3533,8124
76,2021,Franklin,27721,3724,7207
77,2010,Garfield,903,119,188
78,2012,Garfield,1001,69,234
79,2014,Garfield,906,60,251
80,2016,Garfield,952,97,222
81,2018,Garfield,997,106,239
82,2019,Garfield,984,93,255
83,2021,Garfield,1004,98,337
84,2010,Grant,30228,5546,7774
85,2012,Grant,30543,5346,8159
86,2014,Grant,29758,4028,8899
87,2016,Grant,28351,4590,10760
88,2018,Grant,30806,4222,9140
89,2019,Grant,30866,3635,11390
90,2021,Grant,35572,4138,9822
91,2010,Grays Harbor,28376,3976,7540
92,2012,Grays Harbor,27880,4951,6735
93,2014,Grays Harbor,27401,5139,6582
94,2016,Grays Harbor,27330,3945,7525
95,2018,Grays Harbor,27674,4312,8417
96,2019,Grays Harbor,29920,3286,7327
97,2021,Grays Harbor,30500,3078,10906
98,2010,Island,32685,3081,6214
99,2012,Island,32954,3224,7436
100,2014,Island,32464,3509,6790
101,2016,Island,33365,3661,6736
102,2018,Island,34572,2390,7079
103,2019,Island,34768,2891,8601
104,2021,Island,35976,3282,8920
105,2010,Jefferson,14691,2257,3458
106,2012,Jefferson,13826,1768,4125
107,2014,Jefferson,13535,1758,3905
108,2016,Jefferson,13561,1722,4099
109,2018,Jefferson,14239,1838,3557
110,2019,Jefferson,14705,1995,3802
111,2021,Jefferson,15497,2139,4167
112,2010,King,787809,82857,118563
113,2012,King,804062,84797,114423
114,2014,King,825188,83645,131278
115,2016,King,861154,75648,168209
116,2018,King,897476,78667,190057
117,2019,King,907761,70562,194158
118,2021,King,924763,83981,173844
119,2010,Kitsap,99150,10536,11204
120,2012,Kitsap,97027,9769,14510
121,2014,Kitsap,95249,10798,15830
122,2016,Kitsap,101995,9839,15953
123,2018,Kitsap,105411,9522,18600
124,2019,Kitsap,107525,7963,14371
125,2021,Kitsap,106399,8685,25078
126,2010,Kittitas,16628,3589,3546
127,2012,Kittitas,16490,3958,3586
128,2014,Kittitas,16753,3908,3594
129,2016,Kittitas,17164,3846,3583
130,2018,Kittitas,18003,3587,3125
131,2019,Kittitas,18347,3548,3841
132,2021,Kittitas,18772,3140,4410
133,2010,Klickitat,8470,1467,1974
