School Code,Name,City,State,Submitted,Complete
20000400579,AKIACHAK SCHOOL,AKIACHAK,AK,,
20010000599,ALASKA HOMESCHOOL,DELTA JUNCTION,AK,6,6
20018000763,ALASKA MIDDLE COLLEGE SCHOOL,ANCHORAGE,AK,6,6
02FN00011,ALASKA MILITARY YOUTH ACADEMY,ANCHORAGE,AK,7,6
23866,ANCHORAGE CHRISTIAN SCHOOLS,ANCHORAGE,AK,14,13
20002000467,ANTHONY A. ANDREWS SCHOOL,ST MICHAEL,AK,6,6
20000100211,AYAGINA'AR ELITNAURVIK,KONGIGANAK,AK,5,5
20061000286,BARROW HIGH SCHOOL,BARROW,AK,25,22
20018000057,BARTLETT HIGH SCHOOL,ANCHORAGE,AK,102,93
20060000260,BEN EIELSON JR/SR HIGH SCHOOL,EIELSON AFB,AK,26,25
20018000110,BENSON SECONDARY/S.E.A.R.C.H.,ANCHORAGE,AK,20,15
20000100208,BETHEL REGIONAL HIGH SCHOOL,BETHEL,AK,21,19
20018000075,BETTYE DAVIS EAST ANCHORAGE HIGH SCHOOL,ANCHORAGE,AK,145,133
A0900093,BIRCHWOOD CHRISTIAN SCHOOL,CHUGIAK,AK,,
20051000720,BURCHELL HIGH SCHOOL,WASILLA,AK,12,10
20000500582,CHEVAK SCHOOL,CHEVAK,AK,,
20018000069,CHUGIAK HIGH SCHOOL,CHUGIAK,AK,89,84
20051000711,COLONY HIGH SCHOOL,PALMER,AK,102,98
20039000397,CONNECTIONS,SOLDOTNA,AK,22,20
1922079,COOK INLET ACADEMY,SOLDOTNA,AK,5,5
20006000029,CORDOVA JR/SR HIGH SCHOOL,CORDOVA,AK,14,14
20009000038,CRAIG HIGH SCHOOL,CRAIG,AK,7,6
20054000321,CYBERLYNX CORRESPONDENCE PROGRAM,NENANA,AK,16,16
20010000630,DELTA JUNCTION SENIOR HIGH SCHOOL,DELTA JUNCTION,AK,16,16
20077000447,DENALI PEAK,HEALY,AK,9,8
20012000634,DILLINGHAM MIDDLE/HIGH SCHOOL,DILLINGHAM,AK,12,12
20018000073,DIMOND HIGH SCHOOL,ANCHORAGE,AK,170,162
20018000458,EAGLE RIVER HIGH SCHOOL,EAGLE RIVER,AK,105,99
20060000464,EFFIE KOKRINE CHARTER SCHOOL,FAIRBANKS,AK,7,5
20000300217,EMMONAK SCHOOL,EMMONAK,AK,8,5
20060000587,FAIRBANKS B.E.S.T.,FAIRBANKS,AK,17,15
20018000178,FAMILY PARTNERSHIP CHARTER SCHOOL,ANCHORAGE,AK,21,21
20080000496,FOCUS HOMESCHOOL,ANCHORAGE,AK,12,12
20018000530,FRONTIER CHARTER SCHOOL,ANCHORAGE,AK,16,16
20013000252,GALENA INTERIOR LEARNING ACADEMY (GILA),GALENA,AK,12,10
20002000012,GAMBELL SCHOOL,GAMBELL,AK,7,6
20007000039,GLENNALLEN JR/SR HIGH SCHOOL,GLENNALLEN,AK,7,6
2001443,GRACE CHRISTIAN SCHOOL,ANCHORAGE,AK,31,31
20027000639,HAINES HIGH SCHOOL,HAINES,AK,9,9
20018000555,HIGHLAND ACADEMY CHARTER,ANCHORAGE,AK,,
20039000158,HOMER HIGH SCHOOL,HOMER,AK,37,35
20051000586,HOUSTON JR./SR. HIGH SCHOOL,BIG LAKE,AK,18,18
