COUNTY NAME,COUNTY FIPS CODE,CITY NAME,CITY FIPS CODE,CITY FIPS CODE 90,GNIS CODE,GNIS TIGER FORMAT CODE,PLACE NAME,MULTI-COUNTY FLAG
Adams,001,Hatton,30060,0555,2412736,02412736,Town of Hatton,NO
Adams,001,Lind,39510,0685,2412899,02412899,Town of Lind,NO
Adams,001,Othello,52215,0945,2411341,02411341,City of Othello,NO
Adams,001,Ritzville,58725,1090,2410959,02410959,City of Ritzville,NO
Adams,001,Washtucna,76440,1390,2413453,02413453,Town of Washtucna,NO
Asotin,003,Asotin,03075,0050,2409742,02409742,City of Asotin,NO
Asotin,003,Clarkston,12630,0215,2409469,02409469,City of Clarkston,NO
Benton,005,Benton City,05560,0085,2409836,02409836,City of Benton City,NO
Benton,005,Kennewick,35275,0610,2410184,02410184,City of Kennewick,NO
Benton,005,Prosser,56450,1020,2411497,02411497,City of Prosser,NO
Benton,005,Richland,58235,1080,2410937,02410937,City of Richland,NO
Benton,005,West Richland,77665,1425,2412227,02412227,City of West Richland,NO
Chelan,007,Cashmere,10495,0165,2409405,02409405,City of Cashmere,NO
Chelan,007,Chelan,11615,0195,2409440,02409440,City of Chelan,NO
Chelan,007,Entiat,22010,0405,2410447,02410447,City of Entiat,NO
Chelan,007,Leavenworth,38845,0680,2410814,02410814,City of Leavenworth,NO
Chelan,007,Wenatchee,77105,1405,2412212,02412212,City of Wenatchee,NO
Clallam,009,Forks,24810,0465,2410520,02410520,City of Forks,NO
Clallam,009,Port Angeles,55365,0990,2411459,02411459,City of Port Angeles,NO
Clallam,009,Sequim,63385,1160,2411868,02411868,City of Sequim,NO
Clark,011,Battle Ground,04475,0060,2409796,02409796,City of Battle Ground,NO
Clark,011,Camas,09480,0145,2409967,02409967,City of Camas,NO
Clark,011,La Center,36710,0640,2411566,02411566,City of La Center,NO
Clark,011,Ridgefield,58410,1085,2410945,02410945,City of Ridgefield,NO
Clark,011,Vancouver,74060,1350,2412146,02412146,City of Vancouver,NO
Clark,011,Washougal,76405,1385,2412189,02412189,City of Washougal,NO
Clark,011,Woodland,79625,1470,2412301,02412301,City of Woodland,YES
Clark,011,Yacolt,79975,1480,2413517,02413517,Town of Yacolt,NO
Columbia,013,Dayton,16970,0315,2410301,02410301,City of Dayton,NO
Columbia,013,Starbuck,67490,1240,2413330,02413330,Town of Starbuck,NO
Cowlitz,015,Castle Rock,10565,0170,2409409,02409409,City of Castle Rock,NO
Cowlitz,015,Kalama,34645,0600,2410160,02410160,City of Kalama,NO
Cowlitz,015,Kelso,35065,0605,2410174,02410174,City of Kelso,NO
Cowlitz,015,Longview,40245,0695,2410871,02410871,City of Longview,NO
Cowlitz,015,Woodland,79625,1470,2412301,02412301,City of Woodland,YES
Douglas,017,Bridgeport,07870,0125,2409908,02409908,City of Bridgeport,NO
Douglas,017,Coulee Dam,15115,0280,2413249,02413249,Town of Coulee Dam,YES
Douglas,017,East Wenatchee,20155,0350,2410391,02410391,City of East Wenatchee,NO
