School Code,Name,City,State,Submitted,Completed,Cycle,As of Date
020010000599,ALASKA HOMESCHOOL,DELTA JUNCTION,AK,<5,<5,2023/2024,10/31/23
020018000763,ALASKA MIDDLE COLLEGE SCHOOL,ANCHORAGE,AK,14,14,2023/2024,10/31/23
02FN00011,ALASKA MILITARY YOUTH ACADEMY,ANCHORAGE,AK,<5,<5,2023/2024,10/31/23
00023866,ANCHORAGE CHRISTIAN SCHOOLS,ANCHORAGE,AK,16,14,2023/2024,10/31/23
020002000467,ANTHONY A. ANDREWS SCHOOL,ST MICHAEL,AK,<5,<5,2023/2024,10/31/23
020000100211,AYAGINA'AR ELITNAURVIK,KONGIGANAK,AK,<5,<5,2023/2024,10/31/23
020061000286,BARROW HIGH SCHOOL,BARROW,AK,13,11,2023/2024,10/31/23
020018000057,BARTLETT HIGH SCHOOL,ANCHORAGE,AK,106,100,2023/2024,10/31/23
020060000260,BEN EIELSON JR/SR HIGH SCHOOL,EIELSON AFB,AK,19,19,2023/2024,10/31/23
020018000110,BENSON SECONDARY/S.E.A.R.C.H.,ANCHORAGE,AK,12,10,2023/2024,10/31/23
020000100208,BETHEL REGIONAL HIGH SCHOOL,BETHEL,AK,21,18,2023/2024,10/31/23
020018000075,BETTYE DAVIS EAST ANCHORAGE HIGH SCHOOL,ANCHORAGE,AK,154,144,2023/2024,10/31/23
A0900093,BIRCHWOOD CHRISTIAN SCHOOL,CHUGIAK,AK,5,5,2023/2024,10/31/23
020051000720,BURCHELL HIGH SCHOOL,WASILLA,AK,13,12,2023/2024,10/31/23
020018000069,CHUGIAK HIGH SCHOOL,CHUGIAK,AK,103,96,2023/2024,10/31/23
020051000711,COLONY HIGH SCHOOL,PALMER,AK,94,87,2023/2024,10/31/23
020039000397,CONNECTIONS,SOLDOTNA,AK,21,20,2023/2024,10/31/23
01922079,COOK INLET ACADEMY,SOLDOTNA,AK,7,7,2023/2024,10/31/23
020006000029,CORDOVA JR/SR HIGH SCHOOL,CORDOVA,AK,20,18,2023/2024,10/31/23
020009000038,CRAIG HIGH SCHOOL,CRAIG,AK,5,5,2023/2024,10/31/23
020054000321,CYBERLYNX CORRESPONDENCE PROGRAM,NENANA,AK,35,35,2023/2024,10/31/23
020010000630,DELTA JUNCTION SENIOR HIGH SCHOOL,DELTA JUNCTION,AK,10,10,2023/2024,10/31/23
020077000447,DENALI PEAK,HEALY,AK,5,<5,2023/2024,10/31/23
020012000634,DILLINGHAM MIDDLE/HIGH SCHOOL,DILLINGHAM,AK,13,13,2023/2024,10/31/23
020018000073,DIMOND HIGH SCHOOL,ANCHORAGE,AK,162,154,2023/2024,10/31/23
020018000458,EAGLE RIVER HIGH SCHOOL,EAGLE RIVER,AK,123,118,2023/2024,10/31/23
020060000464,EFFIE KOKRINE CHARTER SCHOOL,FAIRBANKS,AK,7,6,2023/2024,10/31/23
020000300217,EMMONAK SCHOOL,EMMONAK,AK,5,<5,2023/2024,10/31/23
020060000587,FAIRBANKS B.E.S.T.,FAIRBANKS,AK,16,15,2023/2024,10/31/23
020018000178,FAMILY PARTNERSHIP CHARTER SCHOOL,ANCHORAGE,AK,35,34,2023/2024,10/31/23
020080000496,FOCUS HOMESCHOOL,ANCHORAGE,AK,6,6,2023/2024,10/31/23
020018000530,FRONTIER CHARTER SCHOOL,ANCHORAGE,AK,18,15,2023/2024,10/31/23
020013000252,GALENA INTERIOR LEARNING ACADEMY (GILA),GALENA,AK,21,18,2023/2024,10/31/23
020002000012,GAMBELL SCHOOL,GAMBELL,AK,<5,<5,2023/2024,10/31/23
020007000039,GLENNALLEN JR/SR HIGH SCHOOL,GLENNALLEN,AK,<5,<5,2023/2024,10/31/23
02001443,GRACE CHRISTIAN SCHOOL,ANCHORAGE,AK,25,25,2023/2024,10/31/23
020027000639,HAINES HIGH SCHOOL,HAINES,AK,16,14,2023/2024,10/31/23
