,schoolyear,County,DistrictName,SchoolName,Percent
0,2014-15,Adams,Othello School District,LUTACAGA ELEMENTARY,0.05376
1,2014-15,Adams,Othello School District,HIAWATHA ELEMENTARY SCHOOL,0.32558
2,2014-15,Adams,Lind School District,LIND ELEMENTARY SCHOOL,0.92857
3,2014-15,Asotin,Clarkston School District,PARKWAY ELEMENTARY,0.42553
4,2014-15,Asotin,Clarkston School District,GRANTHAM ELEMENTARY,0.2439
5,2014-15,Asotin,Clarkston School District,HIGHLAND ELEMENTARY,0.12245
6,2014-15,Benton,Kennewick School District,EASTGATE ELEMENTARY SCHOOL,0.0566
7,2014-15,Benton,Kennewick School District,WESTGATE ELEMENTARY SCHOOL,0.01031
8,2014-15,Benton,Kennewick School District,HAWTHORNE ELEMENTARY SCHOOL,0.51948
9,2014-15,Benton,Kennewick School District,WASHINGTON ELEMENTARY SCHOOL,0.26316
10,2014-15,Benton,Kennewick School District,EDISON ELEMENTARY SCHOOL,0.44444
11,2014-15,Benton,Kennewick School District,VISTA ELEMENTARY SCHOOL,0.47368
12,2014-15,Benton,Kennewick School District,CANYON VIEW ELEMENTARY SCHOOL,0.44
13,2014-15,,Paterson School District,PATERSON ELEMENTARY SCHOOL,0.5
14,2014-15,Benton,Kiona-Benton City School District,KIONA-BENTON CITY PRIMARY SCHOOL,0.336
15,2014-15,Benton,Finley School District,FINLEY ELEMENTARY,0.26866
16,2014-15,Benton,Prosser School District,KEENE-RIVERVIEW ELEMENTARY,0.14094
17,2014-15,Benton,Prosser School District,WHITSTRAN ELEMENTARY,0.09804
18,2014-15,Chelan,Manson School District,MANSON ELEMENTARY,0.69091
19,2014-15,Chelan,Entiat School District,PAUL RUMBURG ELEMENTARY,0.62963
20,2014-15,Chelan,Lake Chelan School District,MORGEN OWINGS ELEMENTARY SCHOOL,0.38144
21,2014-15,Chelan,Wenatchee School District,LEWIS AND CLARK ELEMENTARY SCH,0.13333
22,2014-15,Chelan,Wenatchee School District,COLUMBIA ELEMENTARY SCHOOL,0.27419
23,2014-15,Chelan,Wenatchee School District,MISSION VIEW ELEMENTARY SCHOOL,0.12329
24,2014-15,Chelan,Wenatchee School District,ABRAHAM LINCOLN ELEMENTARY,0.05085
25,2014-15,Chelan,Wenatchee School District,JOHN NEWBERY ELEMENTARY,0.20548
26,2014-15,Clallam,Port Angeles School District,JEFFERSON ELEMENTARY,0.41176
27,2014-15,Clallam,Port Angeles School District,FRANKLIN ELEMENTARY,0.46
28,2014-15,Clallam,Port Angeles School District,HAMILTON ELEMENTARY,0.37097
29,2014-15,Clallam,Port Angeles School District,DRY CREEK ELEMENTARY,0.6
30,2014-15,Clallam,Cape Flattery School District,NEAH BAY ELEMENTARY SCHOOL,0.92
